ID	Title	Abstract
11	Seasonal variation in cell wall composition and carbohydrate metabolism in the seagrass Posidonia oceanica growing at different depths	Posidonia oceanica is a common seagrass in the Mediterranean Sea that is able to sequester large amounts of carbon. The carbon assimilated during photosynthesis can be partitioned into non-structural sugars and cell-wall polymers. In this study, we investigated the distribution of carbon in starch, soluble carbohydrates and cell-wall polymers in leaves and rhizomes of P. oceanica. Analyses were performed during summer and winter in meadows located south of the Frioul archipelago near Marseille, France. The leaves and rhizomes were isolated from plants collected in shallow (2 m) and deep water (26 m). Our results showed that P. oceanica stores more carbon as starch, sucrose and cellulose in summer and that this is more pronounced in rhizomes from deep-water plants. In winter, the reduction in photoassimilates was correlated with a lower cellulose content, compensated with a greater lignin content, except in rhizomes from deep-water plants. The syringyl-to-guaiacyl (S/G) ratio in the lignin was higher in leaves than in rhizomes and decreased in rhizomes in winter, indicating a change in the distribution or structure of the lignin. These combined data show that deep-water plants store more carbon during summer, while in winter the shallow- and deep-water plants displayed a different cell wall composition reflecting their environment.
12	Nesting behaviour and description of the larva of Alysson spinosus (Panzer, 1801) (Hymenoptera: Bembicidae)	The paper presents new data on the nesting habits of the digger wasp Alysson spinosus (Hymenoptera: Bembicidae). As food for larvae, the female provisioned about 7-8 hemipteran nymphs or imagines per cell. The collected prey belongs to two families of true hoppers (five species of Delphacidae and one species of Cicadellidae). Nests are built in sandy, shaded areas, and consist of a 10-12 cm long main burrow with 1-3 brood cells. Both sexes search for food (honeydew) on the leaves of lilac or small-leaved linden. The nests were infested by the dipteran kleptoparasitic Metopia argyrocephala (Diptera: Sarcophagidae). The mature larva is similar to that of the Nearctic Alysson melleus, from which it differs in having a blunt apical mandibular tooth and more prominent setae on the clypeus and labrum.
13	Serological, biological and molecular characterization of viruses causing mosaic diseases on cabbage (Brassica sp L.) in Central Ethiopia	"The productivity of cabbage (Brassica oleracea var. capitata) in Ethiopia has been generally low due to several biotic and abiotic constraints among which are several viral diseases. There is a recent report indicating that this economically important vegetable is seriously affected in Ethiopia by Cauliflower mosaic virus (CaMV) and Turnip mosaic virus (TuMV). However, little information exists on the incidence and distribution of these viruses as the previous report is based on samples only from Addis Ababa. In this study, a total of 370 leaf samples were collected from 75 cabbage growing fields in Central Ethiopia in two rounds of survey. Two cabbage varieties locally known as ""Habesha gomen"" and ""Tikur gomen"" with virus-like symptoms were collected and tested with Double Antibody Sandwich Enzyme-Linked Immunosorbent Assay (DAS-ELISA) using polyclonal antibodies specific to CaMV and TuMV. Results from serological diagnosis were confirmed with PCR and Sanger sequencing. The results indicated a high incidence and wide distribution of both viruses in Central Ethiopia with an average of 29.5% infection for CaMV and 40% for TuMV. Biological inoculation tests for CaMV or TuMV or both on healthy cabbage seedlings gave similar symptoms as those observed in the field. Symptom severity was higher with co-infection of CaMV and TuMV followed by TuMV single infection. BLAST analysis showed that TuMV and CaMV isolates from Ethiopia have nucleotide identity of 95-98% and 93-98%, respectively to previously reported isolates. Phylogenetic analysis revealed that CaMV isolates from Ethiopia are closely related to isolates from USA and Italy within Group II clade whereas TuMV isolates have close similarities with isolates from World B clade including isolates from Kenya, UK, Japan and the Netherlands. The identification of the causative agents of the mosaic disease observed on cabbage in Central Ethiopia may lay the foundation for future management studies."
14	Effect of composition and properties of soils and soil-sand substrates contaminated with copper on morphometric parameters of barley plants	In a multifactor vegetation experiment, the effect of composition and properties of soils and soil-sand substrates contaminated with various doses of copper acetate on the morphometric parameters of spring barley seedlings was studied. It has been shown that germination and seed germination energy, as well as the length of roots, aboveground parts, and dry biomass of plants depend in a complex way on the concentration of Cu in soils and substrates, as well as on their buffering capacity to heavy metals. Two mechanisms of Cu influence on plant development have been revealed, i.e., metabolic at C<sub>Cu</sub> 500 mg/kg of soil and diffusional at C<sub>Cu</sub> 500 mg/kg. Using the methods of regression analysis of experimental data, a multiple regression equation has been obtained that combines the morphometric index of plants, the concentration of Cu in substrates, and the buffering capacity of soils to Cu. On its basis, in the soil buffering capacity-Cu concentration coordinates, a curve of values of the maximum permissible concentrations of Cu in soils was built on a plane in the range from 17 to 2047 mg/kg. It permits us to separate the zone of permissible development of barley plants (a decrease of the morphometric index by 15%) from the zone of exceeding the accepted values of the maximum permissible concentration of Cu. Thus, the maximum permissible concentration is considered to be a function of Cu concentration, the soil buffering capacity to heavy metals, and plant species rather than a fixed value.
15	Effects of hazelnut husk waste on quality parameters of German primrose (Primula obconica Hance)	The study was conducted to determine the feasibility of using hazelnut shell waste as a growth medium for German primroses (Primula obconica Hance) under greenhouse conditions. Five different media combinations were prepared using sphagnum moss peat (SMP) and hazelnut husk waste (HHW). Some quality and growth parameters of P. obconica appeared to be significantly different depending on the growth medium. Results showed that HHW had a statistically significant impact on two parameters, namely aesthetic appearance score and mean flower weight, but had no impact on the other qualitative traits. The highest (8.94) and lowest (4.70) esthetic appearance scores were observed at 100% HHW and control treatments, respectively. In addition, the maximum (0.15 g) and minimum (0.097 g) mean flower weights were observed in HHW2 treatment and control plants, respectively.
16	Effect of soil mixtures based on a gneiss-derived soil and two forest floor types on growth and nutritional status of Castanea sativa Mill. seedlings	Aiming at the production of robust chestnut plants suitable for the establishment of plantations or for their use in afforestation of forest ecosystems, we studied the effect of soil mixtures on growth, physiological characteristics, and nutritional status of chestnut seedlings. In a complete randomized-block design pot experiment, the soil used was derived from gneiss weathering (GN) and the treatments included GN and GN with fertilization (GN-FER) as well as mixtures of GN with forest floor (FF) from chestnuts (GN-CFF) and from evergreen broad-leaved trees (GN-EFF). Both types of forest floor and fertilization had similar positive effect on seedlings growth and photosynthetic parameters. The most significant effects on soil nutrients were found in GN-CFF and GN-EFF treatments, except for extractable phosphorus (P) and exchangeable potassium (K), whose highest concentrations were observed in GN-FER. Leaf analysis showed that the concentrations of almost all nutrients in all treatments were within the adequacy limits, with the exception of nitrogen (N) in GN, copper (Cu) in GN-EFF, and K in all treatments. Both types of forest floor satisfied the nutritional needs of chestnut seedlings to a large extent and their incorporation in this type of soil combined with limited addition mainly of K and to a lesser degree of P could enhance adequacy of these nutrients in soil and plants. Thus, forest floor application may be an appropriate alternative to integrated nutrient management for robust chestnut seedlings production with significant forestry and environmental impacts.
17	Distribution and resorption efficiency of macroelements (N, P, K, Ca, and Mg) in organs of Rumex alpinus L. in the Alps and the Giant (Krkonose) mountains	Rumex alpinus, an alpine nitrophilous species, is a troublesome weed in pastures. Nutrient uptake and distributions in the organs of Rumex alpinus are not well-studied. We aimed to determine the distribution of macroelements in organs of Rumex alpinus together with the nitrogen-phosphorus potassium ratio (NPK) and the resorption efficiency of N, P, K, calcium (Ca), and magnesium (Mg) in the Alps of Austria, Italy, and the Krkonose (Giant) Mountains, Czech Republic. The pseudo-total and plant-available N, P, K, Ca, and Mg in soils and organs of Rumex alpinus (emerging, mature, and senescent leaves, petioles, stems, and rhizomes) were extracted with aqua regia and Mehlich-3 procedures, respectively, followed by inductively coupled plasma-optical emission spectrometry. The contents of total and available macroelements in the soils reflected high variability with localities. There was a significant effect of locality and organs on the element contents, indicating differences in nutrition. Rumex alpinus exhibited higher N and P contents in emerging and mature leaves than in the senescent compared to Ca and Mg. The N:P and N:K ratios in the mature leaves were within the normal range but were indicative of comparatively higher demand for P. The mean resorption efficiency for N, P, and K was 52, 50, and 22%, respectively, lower than values for most terrestrial plants (62, 65, and 70%). The relatively high availability of macroelements in soils and plant organs with low N, P, and K resorption efficiency indicates a high N, P, and especially K-demanding species of Rumex alpinus.
18	Cattle dung and bioturbation by dung beetles improve oak seedling establishment in Mediterranean silvopastoral ecosystems	"This study aims to determine whether the application of cattle manure and associated bioturbation by dung beetles and other invertebrates can increase oak seedling establishment in the high biodiversity Mediterranean silvopastoral systems known as ""dehesas"", which are comprised of scattered oaks and a grassland layer and are used for livestock rearing. A two-year study was conducted in a representative dehesa in southern Spain. Firstly, the effect of cattle dung pads on acorn consumption by livestock and wild predators was monitored, along with dung beetle abundance and plot bioturbation. Secondly, the indirect effects of bioturbation on acorn burial, acorn predation by rodents and oak seedling establishment were assessed under the condition of livestock exclusion. The results consistently demonstrate a high positive indirect effect of the presence of cattle manure on the persistence of acorns, as well as on seedling establishment, as a result of reduced predation by rodents and improved microhabitat conditions for the acorns and seedlings. These processes were mediated by bioturbation. Tunneler dung beetles, which move a great amount of soil material, were dominant in our records, which suggest their importance for passive acorn burial, without disregarding the influence of other edaphic invertebrates present. We conclude that the presence of cattle manure significantly improves oak seedling establishment in Mediterranean dehesas through the passive burial of acorns by bioturbation, which acts to protect them from predation by rodents, desiccation and other damage. Passive acorn burial by dung beetles and other invertebrates thus emerges as an important ecosystem service that has been little-studied to date. Appropriate rotational management of livestock could therefore contribute to addressing the bottleneck of oak regeneration in Mediterranean dehesas."
19	Integrated application of selected elements of sustainability, circular economy, bioeconomy, and environmental management system in guesthouses	Efforts to minimize negative effects on the environment are manifested in the hospitality sector in the form of integrated application of elements of sustainable business, circular economy, bioeconomy, and environmental management. Those who run accommodation facilities are becoming environmentally aware and feel that they should be more involved in sustainable practices and thus contribute to improving the environment both locally and nationally. The main goal of this study is to identify and evaluate the application of selected elements and measures of sustainable business, circular economy, bioeconomy, and environmental management in guesthouses of the Czech Republic. A questionnaire survey (n1 = 343) was carried out together with a qualitative focus group method (n2 = 5); the data evaluation was carried out using advanced statistical methods (Tukey HSD test, Kruskal-Wallis test, correspondence analysis). The results showed that a higher classification in the guesthouse is associated with an increasing trend in the number of environmentally friendly operating methods used. Measures related to waste sorting containers (74%) and energy-saving and LED light bulbs (68%) showed the highest values. The results are useful for the practice of national professional associations that support the careful handling of resources and thereby influence the entire hospitality sector.
20	Synergistic effects of methyl jasmonate treatment and propagation method on Norway spruce resistance against a bark-feeding insect	Utilizing plants with enhanced resistance traits is gaining interest in plant protection. Two strategies are especially promising for increasing resistance against a forest insect pest, the pine weevil (Hylobius abietis): exogenous application of the plant defense hormone methyl jasmonate (MeJA), and production of plants through the clonal propagation method somatic embryogenesis (SE). Here, we quantified and compared the separate and combined effects of SE and MeJA on Norway spruce resistance to pine weevil damage. Plants produced via SE (emblings) and nursery seedlings (containerized and bare-root), were treated (or not) with MeJA and exposed to pine weevils in the field (followed for 3 years) and in the lab (with a non-choice experiment). Firstly, we found that SE and MeJA independently decreased pine weevil damage to Norway spruce plants in the field by 32-33% and 53-59%, respectively, compared to untreated containerized and bare-root seedlings. Secondly, SE and MeJA together reduced damage to an even greater extent, with treated emblings receiving 86-87% less damage when compared to either untreated containerized or bare-root seedlings in the field, and by 48% in the lab. Moreover, MeJA-treated emblings experienced 98% lower mortality than untreated containerized seedlings, and this high level of survival was similar to that experienced by treated bare-root seedlings. These positive effects on survival remained for MeJA-treated emblings across the 3-year experimental period. We conclude that SE and MeJA have the potential to work synergistically to improve plants' ability to resist damage, and can thus confer a strong plant protection advantage. The mechanisms underlying these responses merit further examination.
21	First report of a 'Candidatus Phytoplasma asteris'-related strain (16Sri-B) associated with three Sempervivum cultivars in Hungary	In 2018, unusual symptoms were observed in Sempervivum plants in commercial nurseries in Hungary. Affected plants exhibited a section of the rosette emerging upwards above the foliage, with giant and often reddish leaves. These symptoms were observed in various Sempervivum species or varieties between 2019 and 2022, with approximately 1% of the plants showing these symptoms in specific cultivars. Leaves were collected from both symptomatic and symptomless plants of different taxa for DNA analysis. Nested PCR assays were performed, and amplicons were obtained from all diseased plants of Sempervivum cultivars Alpha, Purple Passion and Silberkarneol but not from asymptomatic plants of these cultivars. The DNA sequence analysis identified a 'Candidatus Phytoplasma asteris'-related strain in these symptomatic plants, which had 99.95% identity with Onion yellows phytoplasma and 'Muscari botryoides' aster yellows phytoplasma from the 'Candidatus Phytoplasma asteris' (16SrI-B) subgroup. Monitoring over a year showed a recovery from the symptoms, and phytoplasmas were no longer detected by PCR after one year. This is thought to be the first identification of a 'Ca. P. asteris'-related strain in Sempervivum worldwide.
22	First report of Neofusicoccum parvum causing canker and dieback on Alnus glutinosa in Portugal	In March 2022, sunken cankers were observed on the stem and branches of young and mature Alnus glutinosa trees in central Portugal. Cankers were characterised by necrotic lesions on the outer and inner bark that progressively girdled the circumference of stem and branches causing extensive canopy dieback. The incidence of the disease was estimated at 70% (linear plot of 50 m long). Isolations from the diseased tissues resulted in 20 fungal colonies resembling Botryosphaeriaceae species based on colony appearance and hyaline, fusiform, aseptate, thin-walled conidia characteristics. These isolates were identified as Neofusicoccum parvum. The identification was further confirmed through sequencing of the internal transcribed spacer region and comparison with the ex-type culture of N. parvum, exhibiting 100% sequence identity. Subsequent pathogenicity tests on common alder seedlings revealed similar necrotic lesions and wilting symptoms, fulfilling Koch's postulates. This is thought to be the first report of N. parvum affecting A. glutinosa in Portugal and in Europe.
23	First report of Querciphoma minuta causing branch and stem canker in Platanus x hispanica in Germany	In July and August 2022, numerous London plane (Platanus hispanica) trees in Cottbus, Germany, displayed large, dark-brown to red-brown lesions extending from the bark to the heartwood, affecting over 60% of the trees. Querciphoma minuta, a fungus within the Camarosporium complex, was identified in affected branches. Genomic and morphological analyses confirmed the identification. Pathogenicity tests revealed that Q. minuta caused necrosis and vascular discoloration in healthy plane tree seedlings, fulfilling Koch's postulates. Previously known to affect oak trees, this is thought to be the first report of Q. minuta as a potential canker pathogen of London plane trees. This suggests a broader host range and greater impact of the pathogen as a plant disease agent than previously recognized.
24	The quality of grape and wine of Merlot and Blatina varieties in the agroecological conditions of the Trebinje vineyard	The aim of this paper is to present the quality of grape and wine of Merlot and Blatina varieties in the agro ecological conditions of the Trebinje vineyard, during the vintages of 2016 and 2017. The vineyards were established in 2004 (Merlot) and in 2013 (Blatina), at an altitude of 269 m, with the planting distance of 2.8 x 1 m for Blatina and 2.8 x 0.9 m for Merlot. The Merlot and Blatina grape varieties were grafted on Berlandieri x Riparia Kober 5BB rootstock. The research included analysis of the sugar, total acid content and pH as parameters of grape quality. The following parameters of wine quality were analyzed: alcohol content, total acid, total ash, content of extract and total phenols. The quality of the grapes, grown in the conditions of Trebinje vineyard is suitable to produce quality red wines.
25	Stress induced by soil contamination with heavy metals and their effects on some biomarkers and DNA damage in maize plants at the vicinity of Ferronikel smelter in Drenas, Kosovo	The Ferronikel smelter in Drenas is one of the main industrial areas in the Kosovo and pollution by heavy metals causes serious threat for all living organisms on this area. The objective of this study was to determine the concentration of some heavy metals (Fe, Cu, Mn, Cr, Cd, Ni and Pb) in agricultural soils and in maize plants, and their potential toxic effects on this plant through some sensitive biochemical and molecular markers. Maize seedlings growth in nine soil samples from different locations of this area. The highest concentrations of heavy metals in soils and maize leaves were conducted close to the Ferronikel smelter, and in some locations, the nickel and chromium concertation in soils exceeded 800 mg kg<sup>-1</sup>. A significant effects of heavy metals induced toxicity resulted in the, build-up aminolevulinic acid and reduced activity of -aminolevulinic acid dehydratase, and chlorophyll content in the maize leaves. In general, maize seedlings growth in polluted locations showed an increase in nuclear DNA content and in G2M phase. We concluded that locations close to the smelter are affected by soil heavy metals pollution and these biochemical and molecular analysis would be a powerful ecotoxicological tool in biomonitoring of heavy metal pollution.
